run_id,domain,round,metric,value
sumo_transfer_v1-104,sumo_transfer_v1,1,waiting_time,0.0
sumo_transfer_v1-104,sumo_transfer_v1,2,waiting_time,0.0
sumo_transfer_v1-104,sumo_transfer_v1,3,waiting_time,0.0
sumo_transfer_v1-104,sumo_transfer_v1,4,waiting_time,2.0
sumo_transfer_v1-104,sumo_transfer_v1,5,waiting_time,7.0
sumo_transfer_v1-104,sumo_transfer_v1,6,waiting_time,12.0
sumo_transfer_v1-104,sumo_transfer_v1,7,waiting_time,25.0
sumo_transfer_v1-104,sumo_transfer_v1,8,waiting_time,40.0
sumo_transfer_v1-104,sumo_transfer_v1,9,waiting_time,55.0
sumo_transfer_v1-104,sumo_transfer_v1,10,waiting_time,75.0
